ZIP,LAT,LNG
02532,41.751759,-70.5975518
02534,41.6689421,-70.6194072
02535,41.3379606,-70.7616743
75098,33.0121346,-96.5349358
75101,32.270032,-96.7024944
75102,32.0579379,-96.6325473
75103,32.516879,-95.8836236
75104,32.5801809,-96.9646745
75105,32.2630103,-96.3876628
75109,32.0427838,-96.3437540
75110,32.0846136,-96.5277676
75114,32.6105754,-96.4442563
75115,32.5994271,-96.8640746
75116,32.6606604,-96.9118821
75117,32.7150128,-95.8544608
75119,32.3258647,-96.5884929
75124,32.326026,-95.9740558
75125,32.5366996,-96.6217469
75126,32.7426013,-96.4528828
75127,32.6902949,-95.7899320
75132,32.9457476,-96.3738828
75134,32.617663,-96.7780575
75135,33.0663446,-96.2214374
48472,43.5123231,-82.9632121
48473,42.9369499,-83.8205439
42025,36.8569236,-88.3347141
48475,43.6731558,-82.9479871
48476,42.9387067,-84.0300499
48502,43.0137267,-83.6883757
42027,36.9166709,-88.6276857
42028,37.23891,-88.3368482
42029,37.0064721,-88.3919601
48503,42.9999233,-83.7088642
42031,36.6857478,-88.9913973
42032,36.7758047,-89.1080665
42035,36.9002256,-88.8403820
42036,36.711521,-88.2145438
42037,37.1727808,-88.1877067
48504,43.0547192,-83.7437365
42038,37.0474135,-88.0276468
42039,36.7887093,-88.8254336
42040,36.6252956,-88.4970733
42041,36.5503732,-88.8773521
48505,43.0703107,-83.6861174
29324,34.9836863,-81.8266352
29325,34.465141,-81.8498163
27030,36.4898018,-80.6291636
27040,36.1693118,-80.3930448
27041,36.4252619,-80.4872012
27042,36.352819,-80.0642026
27043,36.3372517,-80.4518301
27045,36.2343984,-80.2960701
27046,36.5022187,-80.0782643
27047,36.3141343,-80.5691122
27048,36.4825144,-79.9176781
27050,36.2264423,-80.4097074
27051,36.1959455,-80.1534011
27052,36.320755,-80.1504527
27053,36.474276,-80.3478503
27054,35.7925404,-80.5978879
27055,36.1138325,-80.6310992
27101,36.1108495,-80.2004303
27103,36.0582299,-80.3214959
27104,36.0936873,-80.3235320
27105,36.1633767,-80.2337873
27106,36.1439097,-80.3231573
27107,36.0131579,-80.1754914
27109,36.1339281,-80.2776346
27110,36.0892596,-80.2249598
27127,36.0207083,-80.2798166
43469,41.4603686,-83.3645499
43501,41.672655,-84.4617960
43502,41.5345544,-84.2937871
43504,41.6957726,-83.8367491
43505,41.5239457,-84.7312635
43506,41.4662106,-84.5571335
43511,41.2625594,-83.8147261
43512,41.3033782,-84.3582793
43515,41.5842148,-84.0106149
43516,41.2149032,-83.9152423
43517,41.4339468,-84.7285498
43518,41.5964884,-84.7577482
43519,41.4193593,-84.4070701
43521,41.6604894,-84.2979938
43522,41.42031,-83.8324020
